확진자수,지역코드,초등학교수,유치원수,대학교수,학원비율,고령인구비율,독거노인비율,양로원수
69,10010,33,38,0,4.18,13.17,4.3,3088
17,10020,27,32,0,1.54,14.55,5.4,1023
8,10030,14,21,0,0.67,19.49,8.5,628
31,10040,36,56,1,1.17,14.39,5.7,1080
52,10050,22,33,1,0.89,15.12,4.9,909
11,10060,22,33,3,1.16,13.75,4.8,723
34,10070,26,34,3,1,16.21,5.7,741
13,10080,18,19,0,0.96,16.15,6.7,475
25,10090,42,66,6,1.39,15.4,7.4,952
13,10100,23,26,1,0.95,17.89,7.2,485
33,10110,21,31,4,1.06,17.26,6.7,832
37,10120,21,34,3,1.17,15.85,5.2,762
24,10130,22,24,2,1.83,14.05,4.9,929
22,10140,19,25,6,1.12,16.77,6.2,587
39,10150,24,27,1,2.6,13.39,3.8,1465
22,10160,21,30,2,0.97,14.76,5.3,593
27,10170,29,49,6,1.02,16.15,6,729
41,10180,40,51,1,1.65,13.1,4.1,1527
24,10190,30,43,0,2.26,13.55,5.5,816
25,10200,23,39,0,1.21,15.6,5.8,1001
31,10210,15,13,1,0.68,16.87,6.5,435
28,10220,31,44,1,1.09,17,6.5,874
17,10230,13,17,3,1.71,18.27,6.8,668
8,10240,12,14,2,0.94,18.42,7.4,728
17,10250,23,31,1,0.7,16.65,6.9,689
4,11010,17,21,0,1.43,11.84,5,147
6,11020,22,28,4,1.64,19.8,8.4,466
1,11030,21,35,0,1.31,15.45,7.4,229
6,11040,21,27,4,1.24,19.13,7.9,475
1,11050,7,9,0,0.83,25.42,13.8,239
36,11060,22,31,0,1.98,17.53,7.7,608
14,11070,32,43,3,1.62,19.01,8.7,986
8,11080,27,37,1,1.35,16.04,8.4,465
4,11090,21,31,3,0.78,17,8.1,317
11,11100,26,42,2,1.34,17.76,8.1,541
6,11110,11,9,0,1.02,24.36,12.3,235
11,11120,10,22,0,1.56,20.4,8.2,395
4,11130,16,18,2,1.39,18.27,7.8,450
20,11160,33,39,1,1.63,16.53,7.9,814
8,12010,11,15,2,0.85,22.49,10.4,345
4,12020,55,78,3,1.72,13.56,6.5,1064
1,12030,32,47,1,1.51,12.11,5.4,361
1,12040,32,58,0,1.15,18.81,9,649
2,12060,17,23,0,0.83,21.29,10.1,374
2,12070,34,49,1,2.28,15,6.9,948
3,12080,10,12,0,4.03,20.29,9.6,594
1,14010,20,19,1,0.68,31.97,13.9,107
8,14020,26,36,2,1.25,11.81,5.2,477
12,14030,29,43,2,0.9,16.29,6.8,643
13,14040,38,77,0,1.39,12.68,5.5,955
2,14050,8,12,1,0.68,21.62,10.5,122
17,14060,42,66,0,1.27,13.83,6.2,847
11,14070,44,80,0,1.4,10.02,3.9,670
19,14080,23,43,1,1.77,9.48,4,467
5,14100,14,17,0,0.8,14.14,6.7,177
3,15010,21,29,2,1.35,14.97,6.9,310
2,15020,23,35,4,0.93,18.16,8.1,447
15,15030,39,78,3,1.81,12.05,4.9,1123
19,15040,38,75,5,1.54,9.04,3.3,586
1,15050,27,43,1,1.43,18.39,8.2,518
18,16010,30,44,1,3.23,11.42,4.8,765
6,16020,16,25,1,1.73,11.68,4.4,242
6,16030,22,45,0,1.73,7.69,3.4,211
4,16040,30,49,2,1.74,13.94,6.7,260
9,16050,21,37,0,2.03,14.15,6.5,323
46,17000,48,60,3,1.78,9.48,3.8,491
1,20010,13,14,0,0.88,25.09,12,114
32,20020,84,171,2,1.88,12.82,5.2,1608
6,20030,4,7,0,1.36,13.98,5.7,92
13,20040,25,48,0,1.73,13.25,5.8,530
16,20050,27,42,2,1.09,12.65,4,406
6,20060,16,30,0,1.94,12.88,5.1,418
32,20070,26,49,1,1.58,12.42,5.4,429
17,20080,43,90,2,1.74,12.1,4.4,604
31,20090,64,110,1,1.38,13.44,5,912
5,20100,11,19,1,1.03,19.56,9.7,140
76,20110,64,124,4,1.51,12.77,5.4,1432
128,20120,72,127,3,2.08,13.52,5.6,2095
56,20130,99,192,4,1.72,10.5,4.5,2082
9,20140,46,74,2,1.55,8.86,3.8,622
16,20150,54,94,4,1.49,10.35,4.6,1024
3,20160,35,51,3,1.27,16.95,7.2,271
24,20170,41,79,4,1.86,12.88,5.1,1099
4,20180,33,48,1,1.16,15.23,6.3,252
7,20220,23,50,2,1.25,9.09,3.6,314
73,20230,103,169,7,1.82,12.77,4.1,1429
6,20240,14,24,1,1.09,12.99,5,189
38,20250,33,62,1,1.59,14.61,6.4,729
10,20260,31,51,2,1.76,13.71,5.8,333
9,20270,57,98,1,1.34,13.52,5.3,573
46,20280,58,108,3,1.39,12.13,5.6,765
18,20290,31,33,2,0.89,18.92,8.2,209
8,20300,20,34,0,1.16,12.43,4.8,381
24,20310,92,167,6,1.72,8.58,3.3,1001
8,30010,34,36,4,1.9,20.46,9.6,347
1,30040,19,17,0,1.01,24.26,13,94
3,30050,12,11,0,1.54,18.33,9.7,165
1,30080,13,15,1,0.87,28.54,15.4,56
19,30090,50,71,4,1.71,14.46,6.7,597
1,30100,13,15,0,0.88,19.88,10.4,46
9,30120,16,12,0,1.14,21.8,11.1,70
7,30130,40,43,5,1.5,17.1,7.6,472
1,30140,12,12,1,1.16,23.88,12.8,64
1,30180,16,13,2,0.97,28.22,13.3,69
11,40010,14,15,1,0.36,33.01,16.5,64
1,40020,11,11,0,0.5,29.52,15.8,52
6,40060,21,24,2,0.88,20.33,9.2,169
2,40080,4,5,0,1.39,16.59,8.7,62
1,40090,15,16,0,1.15,16.16,8.3,121
12,40100,92,131,8,1.67,12.82,6,1420
12,40110,37,44,2,1.39,19.07,9,347
1,41010,5,8,0,1.3,11.3,5.1,61
2,41040,33,32,2,1.03,25.54,13.4,262
11,41070,24,27,1,0.79,33.3,17.4,137
8,41080,29,39,1,1.3,18.01,8.4,261
1,41090,18,18,0,0.97,35.25,18.9,116
10,41100,46,60,3,1.29,12.89,6.1,435
107,41120,75,112,6,1.91,10.42,4.5,1069
1,41140,19,20,0,0.83,29.98,13.8,112
2,41150,21,26,2,1.35,23.11,11.3,179
4,50020,56,67,5,2.04,18.07,8.8,494
3,50030,36,40,0,1.11,30.89,17.9,188
1,50090,60,83,2,2.18,18.85,9.3,556
1,50110,8,8,0,0.58,32.87,19.1,44
8,50120,73,120,7,3.02,14.4,6.8,1381
1,51040,28,37,2,1.63,12.65,6.8,210
5,51080,33,55,3,2.11,15.88,8.8,406
2,51090,18,21,2,2.12,20.82,11.8,141
2,51110,42,61,3,1.94,15.2,8.3,452
3,51130,50,73,1,1.85,18.59,9.5,471
1,51220,16,19,0,1.32,26.14,17.4,132
632,60010,31,61,10,1.34,16.18,7,427
50,60020,43,61,4,1.34,21.66,11,407
9,60030,9,9,0,0.62,30.17,15.9,62
68,60040,50,104,3,1.96,9.08,4.3,616
6,60050,7,8,0,0.25,38.87,21.6,41
24,60060,27,37,2,0.89,22.35,12.2,212
4,60070,17,26,1,1.18,29.25,17.1,147
71,60080,14,17,0,0.37,35.26,20,47
15,60090,28,35,0,1.03,30.09,17.3,186
22,60100,12,15,0,0.59,30.89,15.9,84
53,60110,30,42,3,1.57,23.95,12.4,290
2,60120,9,11,0,0.75,36.45,22.3,81
2,60130,6,8,0,0.35,36.36,21.1,24
5,60140,19,26,2,1.61,26.22,13.2,191
36,60150,18,23,1,0.83,27.32,15.3,192
43,60160,12,15,1,1.09,29.79,18.4,97
41,60190,16,16,0,0.32,40.26,23.7,108
43,60200,11,14,0,0.63,36.55,21,85
2,60210,8,8,0,0.51,36.08,19.4,55
50,60220,21,32,2,1.48,15.17,6.7,151
52,60230,66,117,4,1.51,16.44,8,877
7,61010,38,58,1,1.76,10.22,4.7,317
19,61020,17,16,2,1.25,27.01,17.4,127
2,61030,19,18,0,1.3,30.17,18.2,89
10,61040,58,91,4,2.1,10.74,5.3,711
1,61050,13,10,1,1.03,36.92,23.3,88
5,61060,21,25,0,1.39,27.31,16.3,178
3,61070,18,20,0,1.84,21.17,11.7,191
1,61080,13,11,0,0.65,35.42,20.6,72
4,61090,37,68,2,1.59,12.92,6.2,507
10,61110,45,53,6,2.49,16.27,8.6,597
9,61120,17,20,0,0.8,29.8,18.4,129
31,61130,110,195,5,1.84,13.64,6.5,1701
1,61160,16,20,0,1.19,23.74,14.7,94
1,61170,13,12,0,1.01,32.65,20.9,83
9,61180,17,15,0,0.71,38.44,24.7,96
14,70000,113,123,4,1.53,15.1,6.4,1245
